PARID,Tax Year,Case Number,Reason,Application Date,RESDATE,RESACT,Value in Dispute,VALCASE,Case Status,PROPERTY TYPE,CLASS,REGION,CITYNAME,District,Township,School District,NBHD,Hearing Type,TAXYR (NUMBER),Noticval,Txpyval,Note
222608C125.,2016,2014-009,Value in dispute,1/5/15,6/30/15,,9480,,,RP,A,22,BETHEL,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,A2516000,Board of Revision,2016,9480,,
433311G034.,2016,2014-024,Value in dispute,1/13/15,7/27/15,Decrease Value,33900,,,RP,R,43,,WASHINGTON TWP / FELICITY LSD,WASHINGTON TWP , FELICITY LSD,2609000,Board of Revision,2016,93900,60000,
523506D026.,2016,2014-037,Value in dispute,1/15/15,6/26/15,Decrease Value,221830,,,RP,A,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,A3405000,Board of Revision,2016,221830,,
222603E006.,2016,2014-049,Value in dispute,1/20/15,6/24/15,Decrease Value,96000,,,RP,A,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,A2516000,Board of Revision,2016,96000,,
082116C007.,2016,2014-067,Value in dispute,1/20/15,7/7/15,Decrease Value,-86320,,,RP,A,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,A2804000,Board of Revision,2016,71680,158000,
082122E005.,2016,2014-067,Value in dispute,1/20/15,7/7/15,Decrease Value,1210,,,RP,A,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,A2804000,Board of Revision,2016,121210,120000,
060203.105A,2016,2014-073,Value in dispute,1/22/15,8/24/15,,115800,,,RP,E,6,,BATAVIA TWP/ BATAVIA VILL/ BATAVIA LSD, BATAVIA VILL, BATAVIA LSD,C4605000,Board of Revision,2016,250800,135000,
323005E017.,2016,2014-085,Value in dispute,1/23/15,5/20/15,,171360,,,RP,A,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,A3017000,Board of Revision,2016,171360,,
112211K066.,2016,2014-088,Value in dispute,1/26/15,7/27/15,No Change in Value,-9860,,,RP,A,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,A4141000,Board of Revision,2016,55440,65300,
393110F079.,2016,2014-099,Value in dispute,1/28/15,4/15/15,,43900,,,RP,R,39,,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,1309000,Board of Revision,2016,297400,253500,
152309H025.,2016,2014-118,Value in dispute,2/2/15,6/30/15,Decrease Value,600540,,,RP,A,15,,JACKSON TWP / WILLIAMSBURG LSD,JACKSON TWP , WILLIAMSBURG LSD,A3816000,Board of Revision,2016,600540,,
413213C325.,2016,2014-139,Value in dispute,2/2/15,8/24/15,,219300,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1527000,Board of Revision,2016,444300,225000,
413112C241.,2016,2014-153,Value in dispute,2/5/15,6/25/15,Decrease Value,93000,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1665000,Board of Revision,2016,283000,190000,
413112B193.,2016,2014-154,Value in dispute,2/6/15,6/29/15,Decrease Value,11500,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1660000,Board of Revision,2016,129500,118000,
393110B117.,2016,2014-166,Value in dispute,2/9/15,6/23/15,No Change in Value,20500,,,RP,R,39,,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,1306000,Board of Revision,2016,257300,236800,
012011C100.,2016,2014-181,Value in dispute,2/11/15,6/15/15,Increase Value,-1148539,,,RP,C,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,C4445000,Board of Revision,2016,686400,1834939,
210726.054P,2016,2014-183,Value in dispute,2/11/15,6/15/15,Increase Value,-1420500,,,RP,C,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1117000,Board of Revision,2016,1329500,2750000,
182402A020.,2016,2014-184,Value in dispute,2/11/15,6/16/15,Increase Value,-5763800,,,RP,C,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0242000,Board of Revision,2016,9836200,15600000,
413105D156.,2016,2014-185,Value in dispute,2/11/15,6/16/15,Increase Value,-469600,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2016,330400,800000,
182516D278.,2016,2014-186,Value in dispute,2/11/15,6/16/15,Increase Value,-1378700,,,RP,C,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0316000,Board of Revision,2016,1286300,2665000,
413104A219.,2016,2014-190,Value in dispute,2/11/15,6/16/15,Increase Value,-1442912,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2016,844900,2287812,
082121C016.,2016,2014-198,Value in dispute,2/11/15,7/1/15,No Change in Value,5780,,,RP,A,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,A2804000,Board of Revision,2016,5780,,
082121C017.,2016,2014-198,Value in dispute,2/11/15,7/1/15,No Change in Value,5780,,,RP,A,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,A2804000,Board of Revision,2016,5780,,
413217E215.,2016,2014-201,Value in dispute,2/13/15,6/26/15,Increase Value,-446800,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1660000,Board of Revision,2016,1213200,1660000,
